,fname,label,manually_verified
27,00e2b4cd.wav,Bark,1
54,019d2a2c.wav,Bark,1
70,020eb9f6.wav,Bark,1
94,027cd3fd.wav,Meow,1
125,03b4aca1.wav,Meow,1
152,0457d8bc.wav,Bark,0
162,04ab05a7.wav,Bark,0
175,05173c4d.wav,Bark,0
231,06dd3b18.wav,Bark,0
233,06e87b61.wav,Bark,0
241,0704ffb8.wav,Bark,0
260,07605b4c.wav,Bark,0
293,086dfaff.wav,Bark,0
308,08cf2d2b.wav,Bark,0
321,0939d783.wav,Bark,0
330,098a3205.wav,Bark,0
355,0a32271b.wav,Meow,0
373,0ac443ad.wav,Bark,0
402,0b7f8989.wav,Bark,0
405,0b914d51.wav,Meow,0
424,0c0f796c.wav,Meow,1
469,0d79765a.wav,Bark,1
523,0f274e7a.wav,Meow,0
551,0ff6fdf5.wav,Bark,0
598,11439cbd.wav,Bark,0
626,11cf5942.wav,Bark,0
642,120e0846.wav,Bark,1
652,1238c3a4.wav,Meow,0
686,13903b82.wav,Meow,1
687,1391883f.wav,Bark,0
697,13ee6c44.wav,Bark,0
700,1401c7ff.wav,Bark,0
716,146d5e25.wav,Bark,0
720,147f61ff.wav,Bark,0
735,14e1442c.wav,Bark,0
739,14ef39a2.wav,Meow,1
741,14f26483.wav,Bark,0
783,161bd007.wav,Bark,0
822,16e4d91a.wav,Bark,1
829,170946f3.wav,Meow,0
842,1760ba6f.wav,Meow,1
846,176c5f52.wav,Bark,0
878,18683b52.wav,Bark,1
891,18ab257b.wav,Bark,1
894,18c0fa51.wav,Bark,1
898,18e0f7ac.wav,Bark,1
942,19fc7498.wav,Meow,0
976,1ae93472.wav,Meow,0
1060,1d28b9cb.wav,Bark,1
1068,1d8502f5.wav,Bark,1
1098,1e5fd361.wav,Bark,0
1115,1ee68efd.wav,Bark,0
1138,1fac40bb.wav,Meow,0
1227,21e48c3b.wav,Meow,0
1278,234f95ec.wav,Bark,0
1311,2405de39.wav,Meow,0
1339,24e8a804.wav,Bark,0
1368,25a8c380.wav,Meow,0
1446,27a0f9ed.wav,Bark,1
1448,27a962c5.wav,Meow,1
1466,28492d31.wav,Bark,0
1536,2a1540b1.wav,Meow,1
1546,2a72b20b.wav,Bark,1
1556,2aad886a.wav,Bark,0
1561,2ad59d34.wav,Meow,0
1569,2b13754b.wav,Bark,0
1579,2b49c53e.wav,Bark,0
1580,2b4e910e.wav,Bark,0
1587,2bb21942.wav,Bark,0
1599,2c0e354c.wav,Bark,1
1601,2c1af1c2.wav,Meow,1
1658,2d9fcebb.wav,Bark,0
1670,2e150054.wav,Meow,0
1678,2e35864b.wav,Meow,1
1741,30619f79.wav,Meow,1
1767,31320e98.wav,Bark,1
1825,327fea32.wav,Bark,0
1859,33a40fbe.wav,Meow,1
1927,357a5b9a.wav,Bark,1
1935,35a38d01.wav,Bark,1
1973,367e990f.wav,Bark,0
2007,375bfb8e.wav,Meow,1
2022,37d5d788.wav,Meow,0
2032,3804ed01.wav,Bark,0
2034,3811852f.wav,Bark,0
2052,388093aa.wav,Bark,0
2077,391dea43.wav,Bark,1
2079,392882a3.wav,Meow,0
2100,39daded1.wav,Bark,0
2123,3a4abb1d.wav,Bark,0
2128,3a7f4b9f.wav,Bark,0
2152,3b04a2b1.wav,Bark,1
2189,3c002b9b.wav,Bark,0
2192,3c200451.wav,Bark,0
2245,3d4fcc98.wav,Bark,1
2311,3f272bc9.wav,Bark,1
2316,3f3f7481.wav,Bark,0
2331,3f9adde5.wav,Bark,0
2356,405b6af2.wav,Bark,0
2358,40733d4e.wav,Meow,0
2377,410b8cc3.wav,Bark,0
2380,41264c8a.wav,Bark,0
2409,4217d933.wav,Bark,1
2449,430cb829.wav,Bark,0
2460,43523546.wav,Bark,1
2479,43d0fe93.wav,Bark,0
2492,442490bc.wav,Meow,0
2498,445b88ad.wav,Bark,0
2501,44911b70.wav,Meow,0
2520,4509d8c8.wav,Meow,1
2561,46076458.wav,Meow,1
2566,4629e77b.wav,Meow,0
2569,464c651e.wav,Meow,0
2611,47797e57.wav,Bark,0
2677,4900d8a0.wav,Bark,1
2686,49345c2f.wav,Meow,1
2710,49d51b77.wav,Meow,0
2769,4b166997.wav,Meow,0
2796,4bf0c44b.wav,Meow,1
2827,4c9112c0.wav,Bark,0
2828,4c9c19b0.wav,Bark,0
2833,4ca93593.wav,Bark,0
2840,4cc1da2f.wav,Bark,0
2842,4ccf85c8.wav,Meow,1
2868,4d5430cf.wav,Bark,1
2938,4f5a5cd7.wav,Meow,0
2985,50917ab0.wav,Bark,0
2995,50d356da.wav,Bark,0
3005,511fb54a.wav,Bark,1
3024,519b068d.wav,Bark,0
3043,52127914.wav,Meow,1
3077,52efdfdd.wav,Meow,0
3129,546416c0.wav,Bark,1
3155,54f4ed65.wav,Bark,1
3180,55b7b452.wav,Meow,1
3215,569ee690.wav,Bark,1
3239,574d304d.wav,Bark,0
3286,58c581a3.wav,Bark,0
3317,59667f26.wav,Bark,0
3344,5a4404c9.wav,Bark,0
3359,5aa8b633.wav,Meow,1
3360,5aabae55.wav,Bark,0
3393,5baff24a.wav,Bark,0
3482,5d939814.wav,Bark,0
3513,5e879961.wav,Meow,1
3518,5ea18a36.wav,Meow,0
3524,5ec49ef4.wav,Bark,0
3656,62a22795.wav,Meow,1
3669,63043359.wav,Meow,0
3702,63db2898.wav,Bark,0
3710,6412f485.wav,Bark,1
3747,64de2033.wav,Bark,0
3749,64e4c75b.wav,Bark,0
3780,65de6350.wav,Bark,0
3806,66af2f72.wav,Bark,0
3808,66b65fff.wav,Meow,0
3823,67066eb2.wav,Meow,1
3831,674b6f0f.wav,Meow,0
3838,67c69330.wav,Bark,0
3877,68d8b3fd.wav,Meow,0
3878,68ddd963.wav,Bark,0
3893,6934efec.wav,Meow,0
3952,6a887ffa.wav,Meow,1
3987,6b28b873.wav,Bark,0
4028,6c84907a.wav,Bark,0
4039,6ccf7c29.wav,Meow,1
4098,6ea1b08a.wav,Meow,0
4161,7096f285.wav,Meow,0
4182,70fb1d65.wav,Bark,0
4195,716e4cae.wav,Bark,0
4200,71964cc8.wav,Meow,0
4208,71ca662a.wav,Bark,0
4227,7262a499.wav,Bark,1
4240,72d85cdf.wav,Bark,0
4325,754667cd.wav,Meow,1
4341,758ed798.wav,Meow,0
4361,765339ec.wav,Bark,0
4437,786ee883.wav,Bark,1
4476,799055b8.wav,Meow,1
4489,79cc9b98.wav,Meow,0
4512,7a515659.wav,Meow,1
4517,7a6d71fc.wav,Meow,0
4533,7ab5800d.wav,Meow,1
4550,7afbf017.wav,Bark,0
4568,7b6f44ff.wav,Meow,0
4635,7d4c5e77.wav,Meow,0
4661,7e3411ef.wav,Bark,0
4712,7f70f1a1.wav,Bark,1
4725,7fd46eaa.wav,Meow,0
4758,80a3da4a.wav,Bark,0
4792,81982d20.wav,Bark,0
4803,81d516e0.wav,Meow,1
4809,81debe3a.wav,Bark,0
4877,83600384.wav,Bark,0
4933,85283172.wav,Bark,0
4934,85313bfa.wav,Meow,0
4974,8606ec28.wav,Bark,1
4986,86692bfd.wav,Bark,1
5006,871c860e.wav,Bark,0
5013,876cd66b.wav,Meow,0
5021,87a12c75.wav,Bark,1
5071,89515baf.wav,Meow,1
5114,8a9c77de.wav,Bark,0
5172,8c5de0f8.wav,Meow,0
5187,8cc7897c.wav,Bark,1
5196,8d089129.wav,Bark,0
5210,8d50a022.wav,Bark,0
5242,8e07e2e1.wav,Bark,1
5260,8e58f5e5.wav,Bark,1
5281,8f0a4562.wav,Bark,1
5400,92a6a9e7.wav,Bark,0
5407,92fd0236.wav,Bark,0
5420,9325ce28.wav,Bark,0
5427,936bdcd7.wav,Bark,0
5442,9417a0cd.wav,Meow,1
5467,94d302ef.wav,Bark,1
5498,95a6c975.wav,Meow,0
5513,9628f165.wav,Bark,0
5520,9656f532.wav,Bark,0
5628,99680597.wav,Bark,0
5635,99b03726.wav,Meow,1
5637,99b6b48a.wav,Meow,1
5716,9bf40e11.wav,Bark,1
5720,9c0cf859.wav,Meow,1
5797,9e1ed2eb.wav,Bark,1
5839,9f6070d8.wav,Bark,0
5885,a0715eb8.wav,Meow,0
5896,a0eb3d76.wav,Bark,0
5910,a146cb0d.wav,Meow,1
5911,a14bd62a.wav,Meow,0
5938,a1e6c805.wav,Meow,1
5948,a22eb75a.wav,Bark,0
5967,a2a0187a.wav,Bark,0
5968,a2a95496.wav,Bark,1
5969,a2abaed4.wav,Meow,1
6039,a49d8f2d.wav,Bark,0
6065,a5736387.wav,Bark,1
6078,a5b893e6.wav,Meow,0
6105,a646868c.wav,Bark,0
6109,a6526124.wav,Meow,1
6136,a77c8c00.wav,Bark,0
6196,a94a1787.wav,Meow,0
6202,a9812fbd.wav,Bark,0
6207,a9be5059.wav,Bark,0
6224,aa5bf7d3.wav,Bark,1
6237,aac2cd6e.wav,Meow,1
6246,aaf32210.wav,Meow,0
6258,ab35fb1c.wav,Meow,0
6264,ab6bfce9.wav,Meow,0
6280,abf52b5c.wav,Bark,0
6322,ace78db8.wav,Bark,0
6355,ae046a29.wav,Bark,1
6360,ae1d4a4b.wav,Meow,1
6385,aea3d36d.wav,Bark,0
6451,b03e05a6.wav,Bark,1
6477,b103d3b5.wav,Bark,0
6506,b1e3de31.wav,Meow,0
6511,b206d981.wav,Meow,0
6529,b2ba9028.wav,Meow,0
6589,b41d03ad.wav,Bark,0
6614,b4c891db.wav,Meow,0
6640,b54cc509.wav,Meow,0
6673,b6383321.wav,Bark,0
6702,b6f5bb24.wav,Bark,0
6708,b7169927.wav,Bark,0
6744,b7f2e8ad.wav,Bark,0
6747,b7fbbe04.wav,Bark,0
6749,b808471e.wav,Bark,0
6861,bb1e58c6.wav,Bark,1
6880,bb5e623d.wav,Meow,1
6918,bc9449d2.wav,Bark,1
6931,bd251008.wav,Bark,0
6954,bdeb67d0.wav,Bark,0
6975,be72f72e.wav,Bark,1
6996,bece203c.wav,Meow,1
7014,bf3cbeed.wav,Meow,0
7033,bfb17663.wav,Meow,1
7041,bfebf408.wav,Bark,0
7048,c0031dcf.wav,Meow,0
7130,c1a111fc.wav,Meow,1
7147,c2186e8e.wav,Meow,1
7148,c22d6f90.wav,Bark,1
7155,c2683452.wav,Meow,1
7206,c3c4fc41.wav,Bark,0
7261,c53125c8.wav,Bark,0
7285,c5f6a173.wav,Bark,0
7294,c6309fe4.wav,Bark,0
7295,c6311bf9.wav,Bark,1
7320,c6f0f0a0.wav,Bark,1
7335,c742d233.wav,Meow,1
7370,c82e9cfd.wav,Meow,0
7387,c891e9de.wav,Meow,0
7405,c8f4b741.wav,Meow,0
7431,c9b862a5.wav,Bark,0
7451,ca584ccc.wav,Meow,0
7525,cc6a0e3f.wav,Meow,0
7537,cca27a50.wav,Meow,1
7565,cd5379cd.wav,Meow,0
7593,ce21d830.wav,Meow,0
7595,ce3453bc.wav,Bark,0
7607,ce7cd11a.wav,Bark,0
7680,d035d92e.wav,Meow,1
7700,d0ebff16.wav,Bark,0
7717,d13f77e0.wav,Bark,0
7728,d16d5863.wav,Bark,1
7747,d1fe974e.wav,Bark,0
7759,d24ffccc.wav,Meow,1
7802,d3a22b67.wav,Bark,0
7808,d3b3a1b4.wav,Bark,0
7828,d49eb5e4.wav,Bark,1
7863,d57b2cb8.wav,Bark,0
7871,d5de2e59.wav,Bark,0
7909,d68fec49.wav,Meow,0
7927,d6ff6f09.wav,Bark,0
7932,d72830c2.wav,Bark,0
7934,d72d685c.wav,Meow,0
7952,d7b31417.wav,Meow,1
7986,d877ea17.wav,Meow,0
7990,d88fff0c.wav,Bark,0
8033,d9b38f26.wav,Meow,0
8047,d9f07bed.wav,Meow,1
8101,db47cea5.wav,Meow,0
8109,db7faa42.wav,Bark,1
8125,dbe33088.wav,Bark,0
8131,dc24a8f4.wav,Bark,1
8176,dd797237.wav,Bark,0
8187,ddcbf5ea.wav,Meow,0
8214,de5bad53.wav,Bark,1
8262,df79d259.wav,Bark,1
8263,df881a37.wav,Bark,0
8280,dfe7423a.wav,Bark,0
8311,e0c71892.wav,Meow,0
8327,e152333d.wav,Meow,1
8336,e1a2b50a.wav,Bark,0
8341,e1b3664c.wav,Meow,0
8344,e1c7636a.wav,Bark,0
8345,e1ca0934.wav,Meow,1
8354,e2085fb6.wav,Bark,0
8360,e23b5f47.wav,Bark,0
8404,e3499812.wav,Meow,0
8439,e47a46fc.wav,Bark,0
8441,e4890814.wav,Bark,1
8460,e4f2abc5.wav,Meow,1
8480,e58fdb36.wav,Meow,0
8492,e5e88639.wav,Bark,0
8511,e6660adc.wav,Bark,0
8527,e6d2a47c.wav,Bark,0
8543,e7451c4c.wav,Bark,0
8560,e7ac44d0.wav,Bark,0
8563,e7b0e650.wav,Bark,0
8576,e818acb7.wav,Bark,0
8620,e9055021.wav,Meow,1
8627,e920e82c.wav,Meow,0
8635,e943becf.wav,Meow,1
8644,e97e4eef.wav,Bark,0
8661,ea0f8914.wav,Bark,0
8691,eae18f5e.wav,Meow,1
8693,eaf93312.wav,Meow,1
8706,eb498bf2.wav,Meow,0
8717,eba9349d.wav,Meow,0
8735,ec24aa8a.wav,Meow,1
8789,ed3e9e93.wav,Meow,1
8796,ed84c059.wav,Bark,0
8813,ee1a6d8f.wav,Bark,0
8820,ee3324a5.wav,Meow,0
8846,eeedfb62.wav,Bark,0
8866,ef7b753e.wav,Meow,1
8882,efe11ef2.wav,Meow,0
8901,f05dfc96.wav,Meow,1
8910,f09f18fe.wav,Bark,1
8928,f10a5f1c.wav,Meow,0
8934,f133df4c.wav,Bark,0
8953,f1e1bbc9.wav,Meow,0
8968,f24f8232.wav,Meow,0
8971,f256d891.wav,Bark,0
9113,f62af26f.wav,Bark,0
9132,f69b13de.wav,Bark,0
9141,f6da0840.wav,Bark,1
9163,f7609214.wav,Meow,0
9197,f8b67ac7.wav,Bark,0
9201,f8c827a4.wav,Bark,1
9210,f8f194a4.wav,Bark,0
9216,f90e431b.wav,Bark,1
9224,f95c9a39.wav,Bark,0
9236,f9907471.wav,Meow,0
9239,f9a4b662.wav,Meow,0
9253,fa2786f2.wav,Bark,1
9286,faf61d4f.wav,Meow,1
9291,fb14cf7c.wav,Bark,0
9297,fb359da1.wav,Bark,0
9333,fc35ee0b.wav,Meow,1
9343,fc800c19.wav,Meow,1
9366,fd1ae06f.wav,Meow,1
9441,ff4ea3fe.wav,Meow,0
